Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34
Assault,2600,1982,Action,Bomb,0.21,0.01,0.0,0.0,0.22
Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0.0,0.0,0.39
Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0.0,0.01,0.5
Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0.0,0.0,0.4
Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17
Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64
Enduro,2600,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.87
Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0.0,0.0,0.32
Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0.0,0.01,0.5
Gravitar,2600,1982,Action,Atari,0.35,0.02,0.0,0.0,0.38
Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
Joust,2600,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08
Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0.0,0.01,1.1
Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72
Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66
Krull,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14
Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0.0,0.02,1.59
Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
Polaris,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28
Pole Position,2600,1982,Racing,Atari,1.1,0.07,0.0,0.01,1.18
Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54
Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0,0.25
Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0.0,0.0,0.15
Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58
RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0.0,0.01,0.5
The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0.0,0.01,0.55
X-Man,2600,1982,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63
Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0.0,0.01,0.77
Dolphin,2600,1983,Action,Activision,0.27,0.02,0.0,0.0,0.29
Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33
Frostbite,2600,1983,Action,Activision,0.32,0.02,0.0,0.0,0.34
Gremlins,2600,1983,Action,Atari,0.43,0.03,0.0,0.0,0.46
Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78
Mahjong,NES,1983,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14
Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0.0,0.01,0.5
Millipede,2600,1983,Shooter,Atari,0.45,0.03,0.0,0.01,0.48
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17
Pengo,2600,1983,Adventure,Atari,0.38,0.02,0.0,0.0,0.4
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31
Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27
Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
F1 Race,NES,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52
Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
Lode Runner,NES,1984,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1
Mappy,NES,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
Alter Ego,PC,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03
Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0.0,0.0,0.45
Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0.0,0.0,0.02,0.0,0.02
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
Adventure Island,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
Doraemon,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15
Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
Kid Icarus,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5
Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2
Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0.0,0.0,0.29
Solaris,2600,1986,Shooter,Atari,0.35,0.02,0.0,0.0,0.37
Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
Commando,2600,1987,Action,Activision,0.44,0.02,0.0,0.0,0.47
Defender II,2600,1987,Shooter,Atari,0.42,0.02,0.0,0.0,0.45
Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.26
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56
Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65
Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
Pro Wrestling,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42
Super Baseball,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.07
Super Football,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.08
Volleyball,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
Disney's DuckTales,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43
Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87
Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42
Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18
R.C. Pro-Am,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
Rampage,2600,1988,Action,Activision,0.22,0.01,0.0,0.0,0.24
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0.0,0.01,0.51
SimCity,PC,1988,Simulation,Maxis,0.0,0.02,0.0,0.01,0.03
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0,0.06
Alleyway,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
Disney's DuckTales,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0.0,0.01,0.47
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1
Golf,GB,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12
Klax,2600,1989,Puzzle,Atari,0.14,0.01,0.0,0.0,0.15
SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
Tennis,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1
Yakuman,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12
Extra Bases,GB,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33
F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
Famista '91,NES,1990,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3
Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01,1.4
Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56
Mega Man 3,NES,1990,Platform,Capcom,0.68,0.1,0.39,0.0,1.17
Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48
Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14
Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15
Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18
Battle Dodge Ball,SNES,1991,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33
Bomberman II,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0.0,0.0,0.08,0.0,0.08
Famista '92,NES,1991,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0,0.38
Final Fantasy II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
Final Fantasy Legend III,GB,1991,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
GameBoy Wars,GB,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0,0.18
John Madden Football,SNES,1991,Sports,Imagineer,0.0,0.0,0.07,0.0,0.07
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33
Lagoon,SNES,1991,Role-Playing,Kemco,0.0,0.0,0.05,0.0,0.05
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.0,0.0,0.28,0.0,0.28
Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93
Mega Man II,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76
NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei,0.0,0.0,0.25,0.0,0.25
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0.0,0.0,0.29,0.0,0.29
SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0.0,0.0,0.16,0.0,0.16
Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
Super Baseball Simulator 1.000,SNES,1991,Sports,Culture Brain,0.0,0.0,0.2,0.0,0.2
Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0.0,0.0,0.39,0.0,0.39
Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,0.5,0.14,0.52,0.02,1.18
Super R-Type,SNES,1991,Shooter,Nintendo,0.0,0.0,0.23,0.0,0.23
Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
Super Scope 6,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65
Super Soccer,SNES,1991,Sports,Nintendo,0.0,0.0,0.38,0.0,0.38
Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
Tetris 2 + Bombliss,NES,1991,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48
UN Squadron,SNES,1991,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12
World League Soccer,SNES,1991,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15
Yoshi,GB,1991,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73
Yoshi,NES,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0.0,0.0,0.16,0.0,0.16
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
Doom,PC,1992,Shooter,id Software,0.02,0.0,0.0,0.0,0.03
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79
Dragon Slayer: The Legend of Heroes,SNES,1992,Role-Playing,Epoch,0.0,0.0,0.07,0.0,0.07
Ecco the Dolphin,GEN,1992,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
Empire Deluxe,PC,1992,Strategy,New World Computing,0.01,0.0,0.0,0.0,0.01
F-1 Grand Prix,SNES,1992,Racing,Video System,0.0,0.0,0.28,0.0,0.28
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0.0,0.0,0.28,0.0,0.28
Fatal Fury,SNES,1992,Fighting,Takara,0.0,0.0,0.39,0.0,0.39
Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45
Gunstar Heroes,GEN,1992,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
Kirby's Pinball Land,GB,1992,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19
Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
Mega Man 5,NES,1992,Platform,Capcom,0.39,0.07,0.32,0.01,0.79
Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67
NBA Jam,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05
Otogirisou,SNES,1992,Adventure,ChunSoft,0.0,0.0,0.16,0.0,0.16
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0.0,0.0,0.29,0.0,0.29
Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97
SimCity 2000,PC,1992,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
Sonic the Hedgehog 2 (8-bit),GG,1992,Platform,Sega,0.0,0.0,0.04,0.0,0.04
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1.0,0.3,0.31,0.04,1.66
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
Super Adventure Island,SNES,1992,Platform,Hudson Soft,0.0,0.0,0.22,0.0,0.22
Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46
Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
Syndicate,PC,1992,Strategy,Electronic Arts,0.0,0.05,0.0,0.01,0.06
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0.0,0.07
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992,Fighting,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
